
16:45:56 ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4C82A90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4C94890>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4C96450>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CA8310>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CAA150>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CB4450>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CB6410>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CB8990>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CBA4D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CCD390>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
